Recr. Field,Bibliometric?,Level,Precision,Recall,F-measure
11/C4,NB,I,0.818,0.75,0.783
11/C4,NB,II,0.723,0.786,0.753
11/C5,NB,I+II,0.751,0.887,0.813
11/C5,NB,I,0.73,0.74,0.735
11/C5,NB,II,0.743,0.854,0.795
11/D1,NB,I+II,0.841,0.869,0.855
11/D1,NB,I,0.883,0.883,0.883
11/D1,NB,II,0.845,0.859,0.852
11/D2,NB,I+II,0.876,0.899,0.887
11/D2,NB,I,0.866,0.922,0.893
11/D2,NB,II,0.914,0.895,0.904
11/E1,B,I+II,0.716,0.653,0.683
11/E1,B,I,0.792,0.77,0.781
11/E1,B,II,0.669,0.623,0.645
11/E2,B,I+II,0.883,0.906,0.895
11/E2,B,I,0.872,0.854,0.863
11/E2,B,II,0.854,0.854,0.854
11/E3,B,I+II,0.815,0.844,0.829
11/E3,B,I,0.843,0.843,0.843
11/E3,B,II,0.833,0.819,0.826
11/E4,B,I+II,0.881,0.934,0.907
11/E4,B,I,0.896,0.878,0.887
11/E4,B,II,0.903,0.94,0.921
12/A1,NB,I+II,0.751,0.803,0.776
12/A1,NB,I,0.753,0.802,0.777
12/A1,NB,II,0.783,0.825,0.803
12/B1,NB,I+II,0.76,0.77,0.765
12/B1,NB,I,0.577,0.625,0.6
12/B1,NB,II,0.812,0.875,0.842
12/B2,NB,I+II,0.797,0.743,0.769
12/B2,NB,I,0.944,0.81,0.872
12/B2,NB,II,0.725,0.698,0.712
12/C1,NB,I+II,0.765,0.761,0.763
12/C1,NB,I,0.704,0.691,0.697
12/C1,NB,II,0.789,0.8,0.795
12/C2,NB,I+II,0.632,0.649,0.64
12/C2,NB,I,0.667,0.727,0.696
12/C2,NB,II,0.692,0.692,0.692
12/D1,NB,I+II,0.82,0.833,0.826
12/D1,NB,I,0.817,0.707,0.758
12/D1,NB,II,0.804,0.862,0.832
12/D2,NB,I+II,0.849,0.898,0.873
12/D2,NB,I,0.857,0.9,0.878
12/D2,NB,II,0.866,0.853,0.859
12/E1,NB,I+II,0.768,0.792,0.78
