@relation temp_weka

@attribute h numeric
@attribute h_y numeric
@attribute num_pub numeric
@attribute num_cit numeric
@attribute mean_cit_paper numeric
@attribute h_num_papers numeric
@attribute age numeric
@attribute gender {F,M}
@attribute Abilitato {No,Si}

@data
13,0.764706,43,935,21.744186,0.302326,17,M,Si
1,0.083333,41,292,7.121951,0.02439,12,F,Si
2,0.153846,11,206,18.727273,0.181818,13,M,Si
8,1.142857,26,226,8.692308,0.307692,7,F,Si
7,0.7,31,440,14.193548,0.225806,10,F,Si
17,1.7,33,445,13.484848,0.515152,10,F,Si
20,1.25,41,825,20.121951,0.487805,16,F,Si
2,0.333333,19,66,3.473684,0.105263,6,M,Si
3,?,6,33,5.5,0.5,?,M,Si
5,0.454545,39,574,14.717949,0.128205,11,F,Si
1,0.111111,5,62,12.4,0.2,9,M,Si
5,0.384615,37,644,17.405405,0.135135,13,M,Si
4,0.666667,10,26,2.6,0.4,6,M,Si
1,0.333333,6,19,3.166667,0.166667,3,F,Si
2,0.5,9,33,3.666667,0.222222,4,M,Si
5,0.384615,16,184,11.5,0.3125,13,M,Si
17,0.894737,106,2880,27.169811,0.160377,19,F,Si
15,1.363636,39,454,11.641026,0.384615,11,F,Si
31,1.291667,101,2582,25.564356,0.306931,24,M,Si
3,0.272727,17,182,10.705882,0.176471,11,F,Si
6,2,20,43,2.15,0.3,3,M,Si
13,1.083333,25,268,10.72,0.52,12,F,Si
6,0.75,15,107,7.133333,0.4,8,F,Si
24,1.6,58,958,16.517241,0.413793,15,M,Si
9,1.5,11,84,7.636364,0.818182,6,M,Si
12,1.5,18,77,4.277778,0.666667,8,F,Si
15,0.681818,33,1022,30.969697,0.454545,22,M,Si
24,3.428571,33,332,10.060606,0.727273,7,M,Si
6,0.75,11,86,7.818182,0.545455,8,M,Si
23,1.4375,38,707,18.605263,0.605263,16,M,Si
10,0.909091,23,287,12.478261,0.434783,11,F,Si
9,1.5,18,75,4.166667,0.5,6,M,Si
7,1.75,22,53,2.409091,0.318182,4,F,Si
10,2.5,40,94,2.35,0.25,4,M,Si
5,0.357143,12,185,15.416667,0.416667,14,F,Si
6,?,39,84,2.153846,0.153846,?,M,Si
11,1.571429,19,93,4.894737,0.578947,7,M,Si
9,2.25,40,174,4.35,0.225,4,F,Si
24,1,41,1325,32.317073,0.585366,24,F,Si
8,0.888889,16,167,10.4375,0.5,9,M,Si
15,1.875,24,302,12.583333,0.625,8,M,Si
