@relation 'out_area01_fasciaII_rimossiAttributi_1,2,3,5_Jensen8_mod'

@attribute y numeric
@attribute h_y numeric
@attribute num_pub numeric
@attribute num_cit numeric
@attribute mean_cit_paper numeric
@attribute h_num_papers numeric
@attribute age numeric
@attribute gender {F,M}
@attribute Abilitato {No,Si}

@data
25,1.470588,64,1063,16.609375,0.390625,17,M,No
10,1.428571,10,62,6.2,1,7,F,No
14,0.875,22,450,20.454545,0.636364,16,M,Si
8,?,32,104,3.25,0.25,?,F,Si
12,0.857143,14,155,11.071429,0.857143,14,M,Si
21,5.25,47,121,2.574468,0.446809,4,F,Si
14,1.272727,49,594,12.122449,0.285714,11,M,Si
20,1.111111,40,758,18.95,0.5,18,M,Si
10,0.277778,24,1102,45.916667,0.416667,36,F,Si
13,1.3,47,592,12.595745,0.276596,10,F,Si
10,1,14,147,10.5,0.714286,10,M,Si
11,0.916667,55,905,16.454545,0.2,12,M,Si
11,0.846154,12,222,18.5,0.916667,13,M,Si
7,?,26,7,0.269231,0.269231,?,F,Si
16,2,38,145,3.815789,0.421053,8,M,Si
11,?,40,11,0.275,0.275,?,M,Si
13,1.857143,19,164,8.631579,0.684211,7,M,Si
15,1.363636,42,537,12.785714,0.357143,11,F,Si
13,?,41,95,2.317073,0.317073,?,M,Si
13,3.25,46,268,5.826087,0.282609,4,M,Si
16,?,46,200,4.347826,0.347826,?,F,Si
19,1.9,75,1337,17.826667,0.253333,10,M,Si
24,1.714286,63,1247,19.793651,0.380952,14,M,No
19,1.727273,53,473,8.924528,0.358491,11,M,No
22,1.466667,35,766,21.885714,0.628571,15,F,No
16,2.666667,25,160,6.4,0.64,6,F,No
22,3.666667,42,342,8.142857,0.52381,6,M,No
22,2,40,425,10.625,0.55,11,F,No
17,1.888889,21,247,11.761905,0.809524,9,M,No
18,2.571429,24,92,3.833333,0.75,7,M,No
24,1.714286,132,2116,16.030303,0.181818,14,M,No
18,2.25,54,359,6.648148,0.333333,8,F,No
20,3.333333,29,160,5.517241,0.689655,6,M,No
19,1.583333,39,506,12.974359,0.487179,12,M,No
19,1.357143,19,350,18.421053,1,14,F,No
19,2.714286,56,455,8.125,0.339286,7,M,No
17,2.125,23,246,10.695652,0.73913,8,M,No
14,1.4,16,250,15.625,0.875,10,M,No
25,1.470588,69,1356,19.652174,0.362319,17,F,No
20,3.333333,24,130,5.416667,0.833333,6,M,No
24,2.4,28,278,9.928571,0.857143,10,F,No
15,1.5,16,245,15.3125,0.9375,10,F,No
18,2.25,18,158,8.777778,1,8,M,No
24,2.181818,76,494,6.5,0.315789,11,M,No
14,2,14,139,9.928571,1,7,M,No
18,1.8,34,506,14.882353,0.529412,10,F,No
16,2,17,197,11.588235,0.941176,8,M,No
16,2.666667,22,152,6.909091,0.727273,6,F,No
17,2.125,30,251,8.366667,0.566667,8,F,No
21,1.75,40,442,11.05,0.525,12,F,No
14,2.333333,14,83,5.928571,1,6,F,No
12,1.333333,12,73,6.083333,1,9,M,No
27,1.35,53,1212,22.867925,0.509434,20,M,No
23,3.285714,27,311,11.518519,0.851852,7,F,No
24,1.6,32,537,16.78125,0.75,15,M,No
19,1.727273,29,345,11.896552,0.655172,11,M,No
20,3.333333,21,142,6.761905,0.952381,6,F,No
17,1.545455,28,199,7.107143,0.607143,11,F,No
18,1.2,18,315,17.5,1,15,F,No
26,2.363636,38,315,8.289474,0.684211,11,M,No
24,3.428571,79,819,10.367089,0.303797,7,M,No
22,3.666667,36,246,6.833333,0.611111,6,F,No
26,1.529412,35,920,26.285714,0.742857,17,M,No
20,2.857143,37,350,9.459459,0.540541,7,M,No
21,3,44,409,9.295455,0.477273,7,M,No
16,1.454545,86,839,9.755814,0.186047,11,F,No
23,2.875,48,314,6.541667,0.479167,8,F,No
19,1.055556,21,469,22.333333,0.904762,18,F,No
23,2.3,43,766,17.813953,0.534884,10,M,No
19,3.8,36,134,3.722222,0.527778,5,F,No
18,1.8,29,198,6.827586,0.62069,10,M,No
20,2,32,358,11.1875,0.625,10,M,No
16,2.285714,62,272,4.387097,0.258065,7,F,No
14,2.333333,15,101,6.733333,0.933333,6,M,No
18,1.2,23,398,17.304348,0.782609,15,F,No
18,1.8,59,529,8.966102,0.305085,10,F,No
21,2.625,40,398,9.95,0.525,8,M,No
11,0.846154,180,3405,18.916667,0.061111,13,F,No
15,1.875,20,188,9.4,0.75,8,M,No
19,1.9,29,398,13.724138,0.655172,10,M,No
20,2,47,668,14.212766,0.425532,10,M,No
26,5.2,38,324,8.526316,0.684211,5,F,No
21,2.1,90,1531,17.011111,0.233333,10,M,No
22,2.2,28,329,11.75,0.785714,10,F,No
20,2,23,263,11.434783,0.869565,10,M,No
13,1.625,14,79,5.642857,0.928571,8,M,No
20,1.666667,26,423,16.269231,0.769231,12,F,No
18,1.5,74,850,11.486486,0.243243,12,F,No
27,3.375,29,207,7.137931,0.931034,8,M,No
20,2.5,21,126,6,0.952381,8,M,No
25,2.083333,55,823,14.963636,0.454545,12,M,No
20,2.5,40,358,8.95,0.5,8,M,No
21,1.5,36,453,12.583333,0.583333,14,M,No
18,2.25,36,246,6.833333,0.5,8,M,No
16,1.777778,28,298,10.642857,0.571429,9,F,No
19,1.055556,23,363,15.782609,0.826087,18,F,No
25,2.083333,40,495,12.375,0.625,12,M,No
16,1.454545,17,201,11.823529,0.941176,11,M,No
12,2,12,126,10.5,1,6,M,No
27,3.857143,96,637,6.635417,0.28125,7,F,No
25,1.923077,35,632,18.057143,0.714286,13,M,No
22,1.375,41,743,18.121951,0.536585,16,F,No
21,1.5,34,633,18.617647,0.617647,14,M,No
13,1,160,1896,11.85,0.08125,13,M,No
19,1.9,23,263,11.434783,0.826087,10,M,No
12,2.4,13,46,3.538462,0.923077,5,M,No
25,1.315789,43,917,21.325581,0.581395,19,M,No
21,1.3125,28,584,20.857143,0.75,16,M,No
17,2.428571,41,299,7.292683,0.414634,7,M,No
20,2.222222,52,604,11.615385,0.384615,9,M,No
17,1.888889,31,226,7.290323,0.548387,9,F,No
15,1.5,16,216,13.5,0.9375,10,M,No
18,1.5,23,485,21.086957,0.782609,12,M,No
20,3.333333,25,218,8.72,0.8,6,M,No
18,3,25,114,4.56,0.72,6,M,No
19,2.111111,41,592,14.439024,0.463415,9,F,No
21,4.2,24,187,7.791667,0.875,5,M,No
25,2.083333,31,621,20.032258,0.806452,12,M,No
26,2.166667,62,864,13.935484,0.419355,12,M,No
17,1.307692,20,357,17.85,0.85,13,F,No
12,1.2,12,142,11.833333,1,10,M,No
18,3,18,108,6,1,6,M,No
