@relation temp_weka

@attribute h numeric
@attribute h_y numeric
@attribute num_pub numeric
@attribute num_cit numeric
@attribute mean_cit_paper numeric
@attribute h_num_papers numeric
@attribute age numeric
@attribute gender {F,M}
@attribute Abilitato {No,Si}

@data
6,1.2,8,48,6,0.75,5,M,Si
13,0.928571,116,2350,20.258621,0.112069,14,M,Si
9,1.8,11,44,4,0.818182,5,F,Si
3,?,23,118,5.130435,0.130435,?,M,Si
4,0.444444,34,250,7.352941,0.117647,9,F,Si
5,0.555556,35,343,9.8,0.142857,9,F,Si
6,0.857143,41,141,3.439024,0.146341,7,M,Si
6,0.857143,41,352,8.585366,0.146341,7,M,Si
2,0.285714,10,105,10.5,0.2,7,M,Si
1,0.071429,27,600,22.222222,0.037037,14,M,Si
5,0.714286,20,175,8.75,0.25,7,M,Si
5,0.714286,20,155,7.75,0.25,7,M,Si
4,1.333333,7,7,1,0.571429,3,M,Si
8,2.666667,42,59,1.404762,0.190476,3,M,Si
10,3.333333,37,27,0.72973,0.27027,3,M,Si
6,2,7,31,4.428571,0.857143,3,F,Si
4,0.363636,22,211,9.590909,0.181818,11,M,Si
6,0.545455,22,223,10.136364,0.272727,11,F,Si
7,0.636364,22,257,11.681818,0.318182,11,F,Si
4,0.444444,22,307,13.954545,0.181818,9,F,Si
4,0.444444,22,229,10.409091,0.181818,9,F,Si
2,0.4,11,46,4.181818,0.181818,5,M,Si
2,0.4,11,49,4.454545,0.181818,5,M,Si
4,0.666667,11,95,8.636364,0.363636,6,M,Si
6,0.375,16,251,15.6875,0.375,16,M,Si
1,0.2,38,255,6.710526,0.026316,5,M,Si
1,0.2,38,187,4.921053,0.026316,5,M,Si
1,0.2,40,237,5.925,0.025,5,F,Si
3,0.75,7,35,5,0.428571,4,M,Si
9,?,42,177,4.214286,0.214286,?,M,Si
9,?,22,53,2.409091,0.409091,?,M,Si
7,2.333333,38,142,3.736842,0.184211,3,M,Si
13,1.3,46,589,12.804348,0.282609,10,F,Si
4,0.4,21,230,10.952381,0.190476,10,M,Si
2,0.333333,15,76,5.066667,0.133333,6,M,Si
2,0.333333,15,131,8.733333,0.133333,6,M,Si
3,0.3,18,280,15.555556,0.166667,10,M,Si
2,0.285714,11,129,11.727273,0.181818,7,F,Si
11,1.1,27,271,10.037037,0.407407,10,F,Si
1,0.166667,16,93,5.8125,0.0625,6,M,Si
1,0.166667,16,56,3.5,0.0625,6,M,Si
10,0.769231,29,452,15.586207,0.344828,13,M,Si
10,0.769231,29,526,18.137931,0.344828,13,M,Si
24,1,41,1325,32.317073,0.585366,24,F,Si
8,1,31,341,11,0.258065,8,F,Si
4,0.444444,25,228,9.12,0.16,9,F,Si
22,0.846154,47,1743,37.085106,0.468085,26,M,Si
1,0.125,20,133,6.65,0.05,8,F,Si
3,0.3,25,297,11.88,0.12,10,M,Si
3,0.428571,22,173,7.863636,0.136364,7,M,Si
3,0.75,7,37,5.285714,0.428571,4,F,Si
1,0.25,7,11,1.571429,0.142857,4,M,Si
10,2.5,26,140,5.384615,0.384615,4,F,Si
16,1.777778,30,379,12.633333,0.533333,9,M,Si
8,2,16,64,4,0.5,4,M,Si
5,0.454545,21,217,10.333333,0.238095,11,M,Si
7,2.333333,10,16,1.6,0.7,3,F,Si
2,0.5,18,67,3.722222,0.111111,4,M,Si
10,1.111111,51,570,11.176471,0.196078,9,M,Si
8,0.666667,12,104,8.666667,0.666667,12,F,Si
13,1.444444,34,420,12.352941,0.382353,9,M,Si
11,1.375,24,278,11.583333,0.458333,8,F,Si
1,0.2,10,79,7.9,0.1,5,F,Si
1,0.2,10,69,6.9,0.1,5,M,Si
6,0.461538,11,193,17.545455,0.545455,13,F,Si
2,0.25,31,228,7.354839,0.064516,8,F,Si
2,0.333333,15,128,8.533333,0.133333,6,F,Si
10,0.588235,23,406,17.652174,0.434783,17,F,Si
20,2.222222,39,416,10.666667,0.512821,9,M,Si
9,1,25,325,13,0.36,9,F,Si
7,?,9,52,5.777778,0.777778,?,F,Si
16,2.285714,37,340,9.189189,0.432432,7,M,Si
15,1.363636,62,974,15.709677,0.241935,11,M,Si
2,0.666667,5,14,2.8,0.4,3,F,Si
1,0.1,24,266,11.083333,0.041667,10,M,Si
11,1.222222,43,233,5.418605,0.255814,9,M,Si
3,0.375,19,200,10.526316,0.157895,8,F,Si
3,0.375,19,143,7.526316,0.157895,8,M,Si
5,0.625,21,197,9.380952,0.238095,8,F,Si
8,1,17,167,9.823529,0.470588,8,M,Si
8,1,17,182,10.705882,0.470588,8,F,Si
4,0.666667,16,93,5.8125,0.25,6,M,Si
4,0.666667,16,123,7.6875,0.25,6,M,Si
8,4,23,2,0.086957,0.347826,2,M,Si
3,0.75,9,46,5.111111,0.333333,4,M,Si
12,1.2,27,331,12.259259,0.444444,10,F,Si
1,0.1,34,322,9.470588,0.029412,10,M,Si
4,0.571429,32,235,7.34375,0.125,7,M,Si
9,0.818182,22,321,14.590909,0.409091,11,M,Si
3,?,6,21,3.5,0.5,?,M,Si
1,0.1,12,176,14.666667,0.083333,10,M,Si
5,0.714286,44,239,5.431818,0.113636,7,M,Si
