Recr. Field,Bibliometric?,Level,Precision,Recall,F-measure
08/E2,NB,II,0.746,1.000,0.855
09/C1,B,II,0.819,0.894,0.855
09/G2,B,II,0.823,0.886,0.853
10/B1,NB,II,0.742,1.000,0.852
08/C1,NB,II,0.887,0.812,0.848
06/D1,B,II,0.807,0.888,0.846
06/M1,B,II,0.822,0.861,0.841
13/D3,NB,II,0.817,0.866,0.841
12/A1,NB,II,0.729,0.991,0.840
12/F1,NB,II,0.723,1.000,0.839
06/E1,B,II,0.788,0.893,0.837
06/E2,B,II,0.763,0.926,0.837
14/D1,NB,II,0.887,0.787,0.834
09/E3,B,II,0.796,0.872,0.832
10/D1,NB,II,0.835,0.828,0.831
05/B1,B,II,0.761,0.914,0.830
06/F4,B,II,0.806,0.853,0.829
10/G1,NB,II,0.770,0.890,0.826
06/B1,B,II,0.759,0.903,0.825
08/B3,B,II,0.917,0.746,0.822
14/B1,NB,II,0.789,0.851,0.819
05/B2,B,II,0.751,0.901,0.819
11/A5,NB,II,0.785,0.848,0.816
09/E2,B,II,0.750,0.892,0.815
07/G1,B,II,0.800,0.829,0.814
04/A3,B,II,0.762,0.871,0.813
11/C1,NB,II,0.697,0.976,0.813
05/A1,B,II,0.794,0.831,0.813
13/A1,NB,II,0.743,0.893,0.811
07/B1,B,II,0.766,0.857,0.809
12/G1,NB,II,0.759,0.863,0.808
06/D2,B,II,0.772,0.833,0.802
09/B3,B,II,0.850,0.756,0.800
12/E3,NB,II,0.725,0.892,0.800
08/E1,NB,II,0.833,0.765,0.798
13/A4,NB,II,0.686,0.954,0.798
10/F2,NB,II,0.734,0.873,0.797
08/A3,B,II,0.778,0.818,0.797
11/C5,NB,II,0.736,0.866,0.796
09/H1,B,II,0.741,0.857,0.795
03/C2,B,II,0.805,0.786,0.795
13/B2,NB,II,0.894,0.716,0.795
08/A4,B,II,0.742,0.852,0.793
03/D1,B,II,0.767,0.818,0.792
06/C1,B,II,0.767,0.816,0.791
05/A2,B,II,0.757,0.824,0.789
05/E1,B,II,0.716,0.876,0.788
10/D3,NB,II,0.793,0.783,0.788
12/B1,NB,II,0.868,0.719,0.786
05/D1,B,II,0.790,0.778,0.784
01/A4,B,II,0.709,0.871,0.782
11/E3,B,II,0.872,0.707,0.781
11/C3,NB,II,0.663,0.952,0.781
10/L1,NB,II,0.670,0.937,0.781
13/D4,NB,II,0.756,0.808,0.781
06/H1,B,II,0.741,0.822,0.779
02/C1,B,II,0.752,0.809,0.779
09/E1,B,II,0.759,0.800,0.779
06/A4,B,II,0.737,0.824,0.778
03/C1,B,II,0.778,0.778,0.778
06/I1,B,II,0.816,0.741,0.777
12/E1,NB,II,0.802,0.754,0.777
12/C2,NB,II,0.826,0.731,0.776
06/D3,B,II,0.757,0.795,0.776
08/A1,B,II,0.756,0.797,0.776
06/G1,B,II,0.794,0.759,0.776
11/A1,NB,II,0.730,0.821,0.773
14/A1,NB,II,0.673,0.907,0.773
11/A2,NB,II,0.739,0.806,0.771
14/A2,NB,II,0.752,0.784,0.768
09/D3,B,II,0.767,0.767,0.767
09/B1,B,II,0.684,0.867,0.765
09/C2,B,II,0.765,0.765,0.765
09/F2,B,II,0.868,0.680,0.763
09/B2,B,II,0.727,0.800,0.762
05/H1,B,II,0.674,0.875,0.762
03/B1,B,II,0.756,0.765,0.761
05/C1,B,II,0.725,0.798,0.760
11/A3,NB,II,0.716,0.810,0.760
08/B2,B,II,0.878,0.667,0.758
10/M2,NB,II,0.706,0.818,0.758
11/C4,NB,II,0.688,0.841,0.757
05/E2,B,II,0.676,0.861,0.757
06/D5,B,II,0.672,0.865,0.756
13/D2,NB,II,0.722,0.792,0.755
07/D1,B,II,0.718,0.792,0.753
02/B2,B,II,0.730,0.773,0.751
12/B2,NB,II,0.712,0.792,0.750
10/D4,NB,II,0.662,0.847,0.743
07/C1,B,II,0.724,0.764,0.743
01/A6,B,II,0.657,0.852,0.742
01/B1,B,II,0.748,0.733,0.740
06/D6,B,II,0.733,0.747,0.740
03/A2,B,II,0.663,0.832,0.738
12/H3,NB,II,0.764,0.714,0.738
08/F1,NB,II,0.672,0.806,0.733
12/E2,NB,II,0.717,0.750,0.733
04/A2,B,II,0.701,0.761,0.730
11/C2,NB,II,0.626,0.870,0.728
10/A1,NB,II,0.673,0.785,0.725
09/D2,B,II,0.646,0.824,0.724
13/B5,NB,II,0.739,0.708,0.723
10/N1,NB,II,0.648,0.814,0.722
06/A1,B,II,0.697,0.742,0.719
09/G1,B,II,0.793,0.657,0.719
03/A1,B,II,0.639,0.802,0.711
13/B1,NB,II,0.788,0.641,0.707
07/E1,B,II,0.615,0.812,0.700
07/B2,B,II,0.700,0.700,0.700
10/I1,NB,II,0.673,0.712,0.692
11/B1,NB,II,0.607,0.802,0.691
13/D1,NB,II,0.741,0.642,0.688
10/M1,NB,II,0.614,0.783,0.688
12/G2,NB,II,0.794,0.600,0.684
13/A3,NB,II,0.712,0.653,0.681
10/E1,NB,II,0.611,0.764,0.679
01/A2,B,II,0.657,0.697,0.676
13/B4,NB,II,0.628,0.731,0.676
06/F1,B,II,0.667,0.681,0.674
06/E3,B,II,0.636,0.714,0.673
04/A1,B,II,0.631,0.716,0.671
