Recr. Field,Bibliometric?,Level,Precision,Recall,F-measure
11/A1,NB,I,0.700,0.700,0.700
06/E2,B,I,0.690,0.707,0.699
12/C2,NB,I,0.667,0.727,0.696
04/A1,B,I,0.684,0.709,0.696
05/D1,B,I,0.654,0.737,0.693
04/A2,B,I,0.667,0.717,0.691
12/H2,NB,I,0.714,0.667,0.690
11/A3,NB,I,0.708,0.671,0.689
08/F1,NB,I,0.690,0.678,0.684
08/B2,B,I,0.692,0.675,0.684
06/A4,B,I,0.628,0.750,0.684
09/D2,B,I,0.652,0.714,0.682
01/A1,B,I,0.689,0.674,0.681
12/C1,NB,I,0.692,0.655,0.673
05/A1,B,I,0.662,0.681,0.671
03/A2,B,I,0.670,0.670,0.670
09/G1,B,I,0.750,0.600,0.667
13/C1,NB,I,0.675,0.659,0.667
06/D5,B,I,0.640,0.696,0.667
10/D3,NB,I,0.667,0.667,0.667
07/E1,B,I,0.643,0.675,0.659
12/E3,NB,I,0.676,0.641,0.658
12/E1,NB,I,0.622,0.683,0.651
07/C1,B,I,0.700,0.609,0.651
09/A2,B,I,0.636,0.667,0.651
06/D6,B,I,0.629,0.672,0.650
10/N3,NB,I,0.688,0.611,0.647
05/H1,B,I,0.620,0.674,0.646
13/D3,NB,I,0.621,0.667,0.643
09/C2,B,I,0.654,0.630,0.642
13/A3,NB,I,0.667,0.611,0.638
01/A2,B,I,0.610,0.667,0.637
06/D2,B,I,0.571,0.718,0.636
11/B1,NB,I,0.667,0.606,0.635
12/F1,NB,I,0.650,0.619,0.634
03/C1,B,I,0.613,0.655,0.633
09/B1,B,I,0.667,0.600,0.632
13/A5,NB,I,0.611,0.647,0.629
06/D4,B,I,0.609,0.651,0.629
06/I1,B,I,0.583,0.683,0.629
03/C2,B,I,0.640,0.615,0.627
05/C1,B,I,0.552,0.727,0.627
09/A3,B,I,0.636,0.618,0.627
13/A2,NB,I,0.633,0.620,0.626
07/B2,B,I,0.625,0.625,0.625
09/E1,B,I,0.621,0.621,0.621
06/C1,B,I,0.580,0.667,0.620
09/B3,B,I,0.600,0.632,0.615
05/A2,B,I,0.571,0.667,0.615
13/B5,NB,I,0.667,0.571,0.615
10/D4,NB,I,0.563,0.675,0.614
10/M2,NB,I,0.630,0.586,0.607
09/A1,B,I,0.647,0.564,0.603
01/A6,B,I,0.667,0.545,0.600
07/F2,B,I,0.667,0.545,0.600
01/A3,B,I,0.595,0.602,0.599
02/B1,B,I,0.558,0.614,0.585
07/H5,B,I,0.538,0.636,0.583
10/A1,NB,I,0.609,0.557,0.582
07/D1,B,I,0.563,0.600,0.581
10/D2,NB,I,0.542,0.619,0.578
09/D3,B,I,0.520,0.650,0.578
07/G1,B,I,0.565,0.591,0.578
12/B1,NB,I,0.536,0.625,0.577
07/A1,B,I,0.559,0.576,0.567
13/B4,NB,I,0.579,0.550,0.564
10/I1,NB,I,0.611,0.524,0.564
02/B2,B,I,0.553,0.565,0.559
12/H3,NB,I,0.600,0.500,0.545
09/E2,B,I,0.526,0.556,0.541
14/B2,NB,I,0.550,0.524,0.537
10/E1,NB,I,0.545,0.522,0.533
03/B1,B,I,0.520,0.542,0.531
10/M1,NB,I,0.526,0.526,0.526
06/A1,B,I,0.485,0.571,0.525
14/B1,NB,I,0.519,0.467,0.491
12/H1,NB,I,0.500,0.467,0.483
08/B1,B,I,0.467,0.500,0.483
03/B2,B,I,0.500,0.462,0.480
02/A2,B,I,0.558,0.420,0.479
10/H1,NB,I,0.400,0.462,0.429
02/A1,B,I,0.394,0.438,0.414
07/H3,B,I,0.385,0.417,0.400
05/F1,B,I,0.250,0.182,0.211
06/F3,B,I,0.250,0.167,0.200
11/E4,B,II,0.894,0.951,0.922
07/F1,B,II,0.884,0.938,0.910
14/C2,NB,II,0.887,0.925,0.906
06/F2,B,II,0.897,0.910,0.904
09/D1,B,II,0.879,0.927,0.902
11/D2,NB,II,0.908,0.879,0.893
14/C1,NB,II,0.873,0.915,0.893
08/D1,NB,II,0.866,0.904,0.884
09/E2,B,II,0.850,0.919,0.883
05/I1,B,II,0.863,0.902,0.882
06/N1,B,II,0.811,0.948,0.875
11/D1,NB,II,0.841,0.911,0.874
06/L1,B,II,0.819,0.906,0.860
12/D2,NB,II,0.866,0.853,0.859
05/G1,B,II,0.836,0.878,0.857
10/F1,NB,II,0.805,0.906,0.853
06/M1,B,II,0.813,0.892,0.851
05/H2,B,II,0.824,0.880,0.851
11/E2,B,II,0.842,0.854,0.848
08/C1,NB,II,0.832,0.865,0.848
02/B3,B,II,0.808,0.889,0.847
13/B3,NB,II,0.819,0.875,0.846
12/E1,NB,II,0.835,0.856,0.845
11/A4,NB,II,0.798,0.896,0.844
06/A2,B,II,0.801,0.886,0.842
10/C1,NB,II,0.802,0.885,0.842
06/M2,B,II,0.811,0.868,0.839
14/D1,NB,II,0.816,0.860,0.838
06/F4,B,II,0.793,0.885,0.836
12/D1,NB,II,0.813,0.862,0.836
08/A2,B,II,0.838,0.830,0.834
10/D1,NB,II,0.806,0.862,0.833
06/B1,B,II,0.804,0.861,0.832
05/B1,B,II,0.801,0.863,0.831
04/A4,B,II,0.795,0.867,0.830
05/E1,B,II,0.788,0.876,0.830
11/E3,B,II,0.828,0.828,0.828
13/B2,NB,II,0.829,0.824,0.826
09/B3,B,II,0.809,0.844,0.826
10/B1,NB,II,0.764,0.893,0.824
08/E2,NB,II,0.772,0.884,0.824
09/F2,B,II,0.804,0.845,0.824
09/F1,B,II,0.809,0.833,0.821
06/A3,B,II,0.816,0.822,0.819
08/A3,B,II,0.800,0.831,0.815
12/B1,NB,II,0.788,0.844,0.815
09/D3,B,II,0.828,0.800,0.814
09/G2,B,II,0.781,0.848,0.813
09/E4,B,II,0.813,0.813,0.813
12/G1,NB,II,0.792,0.836,0.813
12/A1,NB,II,0.775,0.846,0.809
12/C1,NB,II,0.794,0.820,0.807
09/E1,B,II,0.815,0.800,0.807
13/D3,NB,II,0.778,0.836,0.806
11/C1,NB,II,0.723,0.906,0.804
06/D1,B,II,0.773,0.835,0.803
06/A1,B,II,0.757,0.839,0.796
05/B2,B,II,0.781,0.809,0.794
11/A5,NB,II,0.755,0.838,0.794
11/C5,NB,II,0.735,0.862,0.793
14/B1,NB,II,0.754,0.833,0.792
11/A1,NB,II,0.756,0.830,0.791
10/D3,NB,II,0.750,0.831,0.789
05/A1,B,II,0.745,0.831,0.786
13/D1,NB,II,0.770,0.799,0.784
06/C1,B,II,0.744,0.826,0.783
07/B1,B,II,0.793,0.774,0.783
05/E2,B,II,0.725,0.848,0.781
01/A3,B,II,0.765,0.796,0.780
08/B3,B,II,0.780,0.780,0.780
01/A5,B,II,0.786,0.772,0.779
06/E2,B,II,0.732,0.833,0.779
09/H1,B,II,0.740,0.819,0.778
11/A2,NB,II,0.735,0.826,0.778
11/A3,NB,II,0.720,0.845,0.777
08/E1,NB,II,0.757,0.796,0.776
14/A2,NB,II,0.760,0.784,0.772
12/F1,NB,II,0.755,0.787,0.771
03/D1,B,II,0.768,0.774,0.771
09/C1,B,II,0.754,0.788,0.770
06/E1,B,II,0.719,0.826,0.769
12/E3,NB,II,0.705,0.846,0.769
06/D3,B,II,0.747,0.790,0.768
09/E3,B,II,0.768,0.768,0.768
10/F2,NB,II,0.718,0.824,0.767
06/H1,B,II,0.728,0.808,0.766
05/D1,B,II,0.738,0.794,0.765
05/A2,B,II,0.765,0.765,0.765
06/I1,B,II,0.761,0.769,0.765
06/D2,B,II,0.748,0.781,0.764
06/G1,B,II,0.755,0.766,0.761
10/G1,NB,II,0.712,0.817,0.761
13/B5,NB,II,0.731,0.792,0.760
13/A4,NB,II,0.716,0.807,0.759
06/A4,B,II,0.719,0.804,0.759
08/B2,B,II,0.796,0.722,0.757
04/A3,B,II,0.694,0.826,0.754
13/A1,NB,II,0.724,0.787,0.754
05/H1,B,II,0.694,0.827,0.754
02/C1,B,II,0.725,0.776,0.750
08/A1,B,II,0.737,0.757,0.747
03/B1,B,II,0.699,0.802,0.747
01/B1,B,II,0.718,0.773,0.744
11/C4,NB,II,0.702,0.786,0.742
12/G2,NB,II,0.750,0.733,0.742
03/C2,B,II,0.738,0.738,0.738
09/C2,B,II,0.692,0.783,0.735
05/C1,B,II,0.688,0.789,0.735
03/A1,B,II,0.698,0.764,0.730
08/F1,NB,II,0.677,0.788,0.728
14/A1,NB,II,0.664,0.805,0.728
13/B1,NB,II,0.694,0.766,0.728
12/E2,NB,II,0.708,0.741,0.724
01/A4,B,II,0.665,0.793,0.723
13/D2,NB,II,0.707,0.736,0.721
09/A2,B,II,0.705,0.738,0.721
07/G1,B,II,0.720,0.720,0.720
11/C2,NB,II,0.676,0.764,0.718
12/B2,NB,II,0.740,0.698,0.718
12/C2,NB,II,0.704,0.731,0.717
02/B2,B,II,0.685,0.748,0.715
11/C3,NB,II,0.650,0.790,0.714
06/F1,B,II,0.673,0.747,0.708
13/A3,NB,II,0.679,0.736,0.707
10/D4,NB,II,0.659,0.754,0.704
07/B2,B,II,0.652,0.750,0.698
12/H3,NB,II,0.679,0.714,0.696
06/D6,B,II,0.649,0.747,0.695
10/L1,NB,II,0.672,0.714,0.692
07/D1,B,II,0.621,0.766,0.686
10/N1,NB,II,0.651,0.726,0.686
09/G1,B,II,0.658,0.714,0.685
03/C1,B,II,0.685,0.685,0.685
07/C1,B,II,0.679,0.691,0.685
08/A4,B,II,0.667,0.704,0.685
09/A1,B,II,0.646,0.721,0.681
10/M2,NB,II,0.660,0.705,0.681
03/A2,B,II,0.669,0.689,0.679
10/A1,NB,II,0.652,0.706,0.678
03/D2,B,II,0.639,0.719,0.676
09/A3,B,II,0.698,0.649,0.673
09/D2,B,II,0.660,0.686,0.673
10/E1,NB,II,0.591,0.764,0.667
04/A2,B,II,0.612,0.732,0.667
07/H4,B,II,0.647,0.688,0.667
04/A1,B,II,0.630,0.689,0.658
07/H2,B,II,0.618,0.700,0.656
06/D4,B,II,0.639,0.670,0.654
13/D4,NB,II,0.649,0.658,0.653
06/D5,B,II,0.610,0.692,0.649
07/E1,B,II,0.630,0.667,0.648
01/A2,B,II,0.615,0.646,0.631
05/F1,B,II,0.646,0.609,0.627
06/E3,B,II,0.620,0.633,0.626
10/M1,NB,II,0.592,0.652,0.621
13/B4,NB,II,0.597,0.642,0.619
11/E1,B,II,0.619,0.593,0.606
11/B1,NB,II,0.564,0.654,0.606
01/A1,B,II,0.556,0.652,0.600
13/C1,NB,II,0.575,0.627,0.600
02/B1,B,II,0.605,0.595,0.600
09/B1,B,II,0.600,0.600,0.600
10/F3,NB,II,0.551,0.655,0.598
07/H1,B,II,0.586,0.607,0.596
03/B2,B,II,0.628,0.563,0.593
10/I1,NB,II,0.588,0.577,0.583
14/B2,NB,II,0.529,0.649,0.583
10/H1,NB,II,0.540,0.630,0.581
13/A2,NB,II,0.614,0.530,0.569
07/A1,B,II,0.538,0.600,0.568
07/H3,B,II,0.517,0.625,0.566
10/D2,NB,II,0.506,0.609,0.553
10/N3,NB,II,0.510,0.581,0.543
07/F2,B,II,0.550,0.524,0.537
12/H2,NB,II,0.500,0.522,0.511
01/A6,B,II,0.500,0.519,0.509
08/B1,B,II,0.500,0.500,0.500
13/A5,NB,II,0.472,0.472,0.472
06/F3,B,II,0.600,0.360,0.450
07/H5,B,II,0.389,0.467,0.424
09/B2,B,II,0.333,0.300,0.316
12/H1,NB,II,0.286,0.273,0.279
02/A2,B,II,0.471,0.148,0.225
02/A1,B,II,0.240,0.043,0.074
