settore05-B1	I	0,838	0,827	0,832
settore05-B1	II	0,796	0,871	0,832
settore12-B1	I+II	0,760	0,770	0,765
settore12-B1	I	0,577	0,625	0,600
settore12-B1	II	0,812	0,875	0,842
settore09-C1	I+II	0,849	0,849	0,849
settore09-C1	I	0,842	0,800	0,821
settore09-C1	II	0,779	0,803	0,791
settore05-D1	I+II	0,742	0,813	0,776
settore05-D1	I	0,660	0,716	0,687
settore05-D1	II	0,737	0,802	0,768
settore14-A1	I+II	0,711	0,792	0,749
settore14-A1	I	0,724	0,677	0,700
settore14-A1	II	0,667	0,797	0,726
settore10-N1	I+II	0,723	0,807	0,762
settore10-N1	I	0,785	0,879	0,829
settore10-N1	II	0,654	0,735	0,692
settore10-D2	I+II	0,582	0,624	0,602
settore10-D2	I	0,619	0,619	0,619
settore10-D2	II	0,521	0,594	0,555
settore08-E2	I+II	0,785	0,889	0,834
settore08-E2	I	0,785	0,793	0,789
settore08-E2	II	0,771	0,861	0,814
settore06-F2	I+II	0,875	0,929	0,901
settore06-F2	I	0,844	0,871	0,857
settore06-F2	II	0,884	0,910	0,897
settore04-A2	I+II	0,597	0,718	0,652
settore04-A2	I	0,679	0,679	0,679
settore04-A2	II	0,596	0,746	0,663
settore03-D1	I+II	0,765	0,823	0,793
settore03-D1	I	0,738	0,738	0,738
settore03-D1	II	0,809	0,832	0,820
settore08-B3	I+II	0,784	0,809	0,796
settore08-B3	I	0,730	0,771	0,750
settore08-B3	II	0,793	0,780	0,786
settore10-G1	I+II	0,699	0,766	0,731
settore10-G1	I	0,707	0,707	0,707
settore10-G1	II	0,710	0,807	0,755
settore06-D5	I+II	0,686	0,640	0,662
settore06-D5	I	0,652	0,652	0,652
settore06-D5	II	0,755	0,769	0,762
settore06-G1	I+II	0,769	0,776	0,773
settore06-G1	I	0,737	0,767	0,752
settore06-G1	II	0,748	0,781	0,764
settore07-E1	I+II	0,658	0,706	0,681
settore07-E1	I	0,744	0,725	0,734
settore07-E1	II	0,634	0,652	0,643
settore07-B2	I+II	0,694	0,740	0,716
settore07-B2	I	0,556	0,625	0,588
settore07-B2	II	0,667	0,800	0,727
settore09-E2	I+II	0,745	0,745	0,745
settore09-E2	I	0,550	0,611	0,579
settore09-E2	II	0,775	0,838	0,805
settore10-D3	I+II	0,754	0,761	0,758
settore10-D3	I	0,690	0,667	0,678
settore10-D3	II	0,714	0,783	0,747
settore08-B2	I+II	0,837	0,819	0,828
settore08-B2	I	0,725	0,725	0,725
settore08-B2	II	0,784	0,741	0,762
settore13-A3	I+II	0,689	0,759	0,722
settore13-A3	I	0,605	0,639	0,622
settore13-A3	II	0,663	0,736	0,697
settore06-D1	I+II	0,802	0,825	0,813
settore06-D1	I	0,802	0,793	0,798
settore06-D1	II	0,777	0,835	0,805
settore12-C2	I+II	0,632	0,649	0,640
settore12-C2	I	0,667	0,727	0,696
settore12-C2	II	0,692	0,692	0,692
settore11-A1	I+II	0,756	0,831	0,792
settore11-A1	I	0,724	0,700	0,712
settore11-A1	II	0,770	0,777	0,773
settore09-A1	I+II	0,692	0,736	0,713
settore09-A1	I	0,706	0,615	0,658
settore09-A1	II	0,688	0,744	0,715
settore11-A5	I+II	0,736	0,832	0,781
settore11-A5	I	0,697	0,719	0,708
settore11-A5	II	0,741	0,808	0,773
settore13-D3	I+II	0,755	0,819	0,786
settore13-D3	I	0,643	0,667	0,655
settore13-D3	II	0,781	0,851	0,814
settore12-H2	I+II	0,600	0,553	0,575
settore12-H2	I	0,692	0,600	0,643
settore12-H2	II	0,591	0,565	0,578
settore10-E1	I+II	0,594	0,663	0,627
settore10-E1	I	0,571	0,522	0,545
settore10-E1	II	0,611	0,764	0,679
settore10-F2	I+II	0,763	0,850	0,804
settore10-F2	I	0,755	0,725	0,740
settore10-F2	II	0,732	0,810	0,769
settore12-C1	I+II	0,765	0,761	0,763
settore12-C1	I	0,704	0,691	0,697
settore12-C1	II	0,789	0,800	0,795
settore12-D1	I+II	0,820	0,833	0,826
settore12-D1	I	0,817	0,707	0,758
settore12-D1	II	0,804	0,862	0,832
settore12-H1	I+II	0,581	0,486	0,529
settore12-H1	I	0,500	0,467	0,483
settore12-H1	II	0,313	0,227	0,263
settore08-A1	I+II	0,781	0,774	0,777
settore08-A1	I	0,780	0,780	0,780
settore08-A1	II	0,771	0,730	0,750
settore09-E3	I+II	0,829	0,858	0,843
settore09-E3	I	0,909	0,886	0,897
settore09-E3	II	0,762	0,768	0,765
settore07-F2	I+II	0,605	0,719	0,657
settore07-F2	I	0,545	0,545	0,545
settore07-F2	II	0,565	0,619	0,591
settore12-E3	I+II	0,703	0,750	0,726
settore12-E3	I	0,676	0,590	0,630
settore12-E3	II	0,701	0,831	0,761
settore13-B5	I+II	0,718	0,737	0,727
settore13-B5	I	0,615	0,571	0,593
settore13-B5	II	0,720	0,750	0,735
settore12-D2	I+II	0,849	0,898	0,873
settore12-D2	I	0,857	0,900	0,878
settore12-D2	II	0,866	0,853	0,859
settore12-G1	I+II	0,723	0,785	0,753
settore12-G1	I	0,667	0,600	0,632
settore12-G1	II	0,773	0,795	0,784
settore05-H1	I+II	0,694	0,800	0,743
settore05-H1	I	0,587	0,587	0,587
settore05-H1	II	0,697	0,817	0,752
settore06-D2	I+II	0,726	0,778	0,751
settore06-D2	I	0,548	0,590	0,568
settore06-D2	II	0,750	0,763	0,757
settore06-B1	I+II	0,791	0,881	0,834
settore06-B1	I	0,775	0,839	0,806
settore06-B1	II	0,815	0,852	0,833
settore06-M2	I+II	0,789	0,820	0,804
settore06-M2	I	0,818	0,844	0,831
settore06-M2	II	0,817	0,904	0,858
settore06-E3	I+II	0,667	0,682	0,674
settore06-E3	I	0,771	0,750	0,761
settore06-E3	II	0,648	0,714	0,680
settore11-A4	I+II	0,816	0,883	0,848
settore11-A4	I	0,862	0,820	0,840
settore11-A4	II	0,800	0,887	0,841
settore06-L1	I+II	0,830	0,884	0,856
settore06-L1	I	0,852	0,868	0,860
settore06-L1	II	0,792	0,894	0,840
settore14-B1	I+II	0,700	0,729	0,714
settore14-B1	I	0,538	0,467	0,500
settore14-B1	II	0,727	0,816	0,769
settore07-B1	I+II	0,726	0,755	0,740
settore07-B1	I	0,706	0,667	0,686
settore07-B1	II	0,765	0,738	0,752
settore07-C1	I+II	0,759	0,808	0,783
settore07-C1	I	0,667	0,609	0,636
settore07-C1	II	0,786	0,800	0,793
settore10-D1	I+II	0,748	0,836	0,790
settore10-D1	I	0,793	0,767	0,780
settore10-D1	II	0,792	0,853	0,822
settore09-A3	I+II	0,605	0,571	0,588
settore09-A3	I	0,647	0,647	0,647
settore09-A3	II	0,712	0,649	0,679
settore07-G1	I+II	0,727	0,769	0,748
settore07-G1	I	0,565	0,591	0,578
settore07-G1	II	0,705	0,756	0,729
settore10-I1	I+II	0,585	0,658	0,619
settore10-I1	I	0,611	0,524	0,564
settore10-I1	II	0,566	0,577	0,571
settore10-M2	I+II	0,658	0,685	0,671
settore10-M2	I	0,643	0,621	0,632
settore10-M2	II	0,625	0,682	0,652
