settore05-A1	II	1,2,3,5	0.739	0.855	0.792
settore06-D1	II	1,2,3,5	0.757	0.830	0.792
settore10-D1	I+II	1,2,3,5	0.753	0.836	0.792
settore09-H1	II	1,2,3,5	0.762	0.823	0.791
settore08-A3	I	1,2,3,5	0.783	0.800	0.791
settore06-H1	I	1,2,3,5	0.766	0.818	0.791
settore12-A1	I+II	1,2,3,5	0.755	0.831	0.791
settore05-E2	II	1,2,3,5	0.728	0.863	0.790
settore01-A5	I+II	1,2,3,5	0.790	0.790	0.790
settore10-C1	I	1,2,3,5	0.759	0.825	0.790
settore11-A1	II	1,2,3,5	0.760	0.821	0.790
settore13-D3	I+II	1,2,3,5	0.762	0.819	0.790
settore09-H1	I	1,2,3,5	0.780	0.799	0.789
settore09-C1	I	1,2,3,5	0.833	0.750	0.789
settore12-G1	II	1,2,3,5	0.784	0.795	0.789
settore08-E1	II	1,2,3,5	0.762	0.816	0.788
settore06-F1	I	1,2,3,5	0.743	0.839	0.788
settore11-A5	II	1,2,3,5	0.752	0.828	0.788
settore10-D1	I	1,2,3,5	0.774	0.800	0.787
settore02-C1	I+II	1,2,3,5	0.747	0.830	0.786
settore05-E1	I+II	1,2,3,5	0.746	0.831	0.786
settore03-C1	I+II	1,2,3,5	0.758	0.813	0.785
settore14-C2	I	1,2,3,5	0.778	0.792	0.785
settore14-B1	II	1,2,3,5	0.742	0.833	0.785
settore14-D1	I+II	1,2,3,5	0.780	0.788	0.784
settore05-C1	I+II	1,2,3,5	0.741	0.832	0.784
settore06-C1	II	1,2,3,5	0.750	0.821	0.784
settore05-A1	I+II	1,2,3,5	0.764	0.805	0.784
settore10-B1	I	1,2,3,5	0.778	0.790	0.784
settore09-B1	I+II	1,2,3,5	0.769	0.800	0.784
settore12-F1	II	1,2,3,5	0.760	0.809	0.784
settore06-E1	I	1,2,3,5	0.747	0.824	0.783
settore13-A4	I	1,2,3,5	0.771	0.794	0.783
settore05-A2	II	1,2,3,5	0.771	0.794	0.783
settore11-C1	II	1,2,3,5	0.714	0.866	0.783
settore05-B2	I+II	1,2,3,5	0.744	0.823	0.782
settore06-A1	II	1,2,3,5	0.740	0.828	0.782
settore13-D1	I	1,2,3,5	0.805	0.759	0.781
settore11-A3	I+II	1,2,3,5	0.720	0.848	0.779
settore09-G1	I	1,2,3,5	0.875	0.700	0.778
settore04-A3	I	1,2,3,5	0.761	0.795	0.778
settore11-A2	II	1,2,3,5	0.735	0.826	0.778
settore06-H1	I+II	1,2,3,5	0.762	0.795	0.778
settore07-B1	II	1,2,3,5	0.783	0.774	0.778
settore13-D1	II	1,2,3,5	0.750	0.806	0.777
settore12-E1	I+II	1,2,3,5	0.775	0.780	0.777
settore09-C2	II	1,2,3,5	0.740	0.817	0.777
settore11-E1	I	1,2,3,5	0.781	0.770	0.776
settore11-A3	II	1,2,3,5	0.708	0.857	0.776
settore06-I1	II	1,2,3,5	0.766	0.787	0.776
settore10-F2	I	1,2,3,5	0.809	0.745	0.776
settore12-C1	I+II	1,2,3,5	0.782	0.771	0.776
settore07-C1	I+II	1,2,3,5	0.756	0.795	0.775
settore06-E2	II	1,2,3,5	0.730	0.824	0.774
settore08-B2	II	1,2,3,5	0.788	0.759	0.774
settore09-E4	I	1,2,3,5	0.763	0.784	0.773
settore12-B1	I+II	1,2,3,5	0.763	0.783	0.773
settore10-N1	I	1,2,3,5	0.754	0.793	0.773
settore08-A1	I+II	1,2,3,5	0.763	0.783	0.773
settore13-D1	I+II	1,2,3,5	0.762	0.783	0.772
settore05-D1	I+II	1,2,3,5	0.745	0.801	0.772
settore11-A1	I+II	1,2,3,5	0.737	0.810	0.772
settore10-F2	II	1,2,3,5	0.727	0.824	0.772
settore05-E2	I+II	1,2,3,5	0.708	0.846	0.771
settore14-A2	I	1,2,3,5	0.804	0.740	0.771
settore09-E1	II	1,2,3,5	0.778	0.764	0.771
settore09-E3	II	1,2,3,5	0.764	0.776	0.770
settore11-C4	I	1,2,3,5	0.814	0.729	0.769
settore08-E2	I	1,2,3,5	0.778	0.761	0.769
settore12-F1	I+II	1,2,3,5	0.757	0.779	0.768
settore14-A2	I+II	1,2,3,5	0.760	0.776	0.768
settore08-A1	II	1,2,3,5	0.753	0.784	0.768
settore09-B3	I+II	1,2,3,5	0.739	0.797	0.767
settore09-C1	II	1,2,3,5	0.761	0.773	0.767
settore06-G1	II	1,2,3,5	0.754	0.781	0.767
settore08-E1	I	1,2,3,5	0.813	0.722	0.765
settore06-G1	I+II	1,2,3,5	0.755	0.776	0.765
settore06-D3	I+II	1,2,3,5	0.737	0.793	0.764
settore04-A3	II	1,2,3,5	0.705	0.833	0.764
settore11-C3	I+II	1,2,3,5	0.709	0.826	0.763
settore11-C1	I+II	1,2,3,5	0.707	0.826	0.762
settore11-A5	I+II	1,2,3,5	0.713	0.817	0.762
settore06-H1	II	1,2,3,5	0.720	0.808	0.761
settore08-B3	I	1,2,3,5	0.750	0.771	0.761
settore12-B2	I+II	1,2,3,5	0.794	0.730	0.761
settore01-A4	I+II	1,2,3,5	0.737	0.784	0.760
settore06-G1	I	1,2,3,5	0.740	0.781	0.760
settore13-B5	II	1,2,3,5	0.731	0.792	0.760
settore14-A2	II	1,2,3,5	0.755	0.763	0.759
settore05-D1	II	1,2,3,5	0.729	0.790	0.758
settore03-D1	I	1,2,3,5	0.746	0.770	0.758
settore01-A3	II	1,2,3,5	0.752	0.762	0.757
settore10-D3	I+II	1,2,3,5	0.744	0.770	0.757
settore06-D2	II	1,2,3,5	0.750	0.763	0.757
settore07-B1	I+II	1,2,3,5	0.750	0.765	0.757
settore02-C1	II	1,2,3,5	0.726	0.789	0.756
settore08-A1	I	1,2,3,5	0.756	0.756	0.756
settore11-C4	I+II	1,2,3,5	0.716	0.799	0.755
settore14-A1	I+II	1,2,3,5	0.695	0.826	0.755
settore10-G1	II	1,2,3,5	0.710	0.807	0.755
settore06-D2	I+II	1,2,3,5	0.727	0.784	0.755
settore12-E2	I+II	1,2,3,5	0.733	0.778	0.755
settore11-C4	II	1,2,3,5	0.711	0.802	0.754
settore01-B1	II	1,2,3,5	0.729	0.781	0.754
settore03-D1	I+II	1,2,3,5	0.741	0.768	0.754
settore06-D3	II	1,2,3,5	0.735	0.773	0.753
settore13-A4	I+II	1,2,3,5	0.712	0.799	0.753
settore09-D2	I+II	1,2,3,5	0.727	0.778	0.752
settore01-A4	II	1,2,3,5	0.702	0.807	0.751
settore10-D3	II	1,2,3,5	0.722	0.783	0.751
settore06-A2	I	1,2,3,5	0.724	0.778	0.750
settore12-D1	I	1,2,3,5	0.814	0.695	0.750
settore12-E3	II	1,2,3,5	0.684	0.831	0.750
settore12-G1	I+II	1,2,3,5	0.727	0.774	0.750
settore11-A2	I+II	1,2,3,5	0.706	0.799	0.749
settore10-N1	I+II	1,2,3,5	0.708	0.795	0.749
settore13-A4	II	1,2,3,5	0.704	0.798	0.748
settore07-G1	I+II	1,2,3,5	0.727	0.769	0.748
settore12-A1	I	1,2,3,5	0.734	0.758	0.746
settore06-F1	II	1,2,3,5	0.706	0.791	0.746
settore05-H1	I+II	1,2,3,5	0.704	0.793	0.746
settore01-A5	II	1,2,3,5	0.774	0.719	0.745
settore03-B1	II	1,2,3,5	0.703	0.790	0.744
settore09-A2	I	1,2,3,5	0.727	0.762	0.744
settore08-F1	I+II	1,2,3,5	0.709	0.781	0.743
settore12-G2	II	1,2,3,5	0.750	0.733	0.742
settore13-B1	I+II	1,2,3,5	0.709	0.776	0.741
settore11-C3	I	1,2,3,5	0.784	0.702	0.741
settore10-G1	I+II	1,2,3,5	0.713	0.772	0.741
settore09-F1	I	1,2,3,5	0.714	0.769	0.741
settore08-A4	I+II	1,2,3,5	0.723	0.759	0.741
settore05-H1	II	1,2,3,5	0.683	0.808	0.740
settore06-C1	I+II	1,2,3,5	0.722	0.758	0.739
settore06-A4	II	1,2,3,5	0.683	0.804	0.739
settore05-C1	II	1,2,3,5	0.694	0.789	0.738
settore06-D6	I+II	1,2,3,5	0.695	0.783	0.737
settore13-A1	II	1,2,3,5	0.707	0.771	0.737
settore08-C1	I	1,2,3,5	0.766	0.711	0.737
settore06-A1	I+II	1,2,3,5	0.701	0.777	0.737
settore06-D3	I	1,2,3,5	0.719	0.753	0.736
settore12-E3	I+II	1,2,3,5	0.698	0.779	0.736
settore05-E2	I	1,2,3,5	0.686	0.791	0.735
settore03-A1	II	1,2,3,5	0.692	0.783	0.735
settore09-D3	I+II	1,2,3,5	0.725	0.740	0.733
settore14-A1	II	1,2,3,5	0.667	0.814	0.733
settore12-H2	I	1,2,3,5	0.733	0.733	0.733
settore09-A2	II	1,2,3,5	0.688	0.786	0.733
settore12-E2	II	1,2,3,5	0.717	0.750	0.733
settore06-E1	I+II	1,2,3,5	0.700	0.767	0.732
settore12-G2	I	1,2,3,5	0.682	0.789	0.732
settore05-E1	I	1,2,3,5	0.722	0.743	0.732
settore11-C5	I	1,2,3,5	0.736	0.726	0.731
settore08-F1	II	1,2,3,5	0.681	0.788	0.730
settore09-A1	I+II	1,2,3,5	0.696	0.768	0.730
settore11-C2	I	1,2,3,5	0.722	0.736	0.729
settore11-C2	II	1,2,3,5	0.696	0.764	0.729
settore07-H2	I	1,2,3,5	0.727	0.727	0.727
settore13-B5	I+II	1,2,3,5	0.718	0.737	0.727
settore13-B1	II	1,2,3,5	0.699	0.752	0.724
settore03-A1	I	1,2,3,5	0.700	0.750	0.724
settore10-D4	II	1,2,3,5	0.676	0.780	0.724
settore12-B2	II	1,2,3,5	0.731	0.717	0.724
settore09-E1	I+II	1,2,3,5	0.718	0.726	0.722
settore14-B1	I+II	1,2,3,5	0.697	0.750	0.722
settore03-C2	II	1,2,3,5	0.705	0.738	0.721
settore13-D2	I+II	1,2,3,5	0.692	0.750	0.720
settore07-B2	II	1,2,3,5	0.663	0.788	0.720
settore11-C3	II	1,2,3,5	0.655	0.796	0.719
settore13-D2	I	1,2,3,5	0.735	0.694	0.714
settore07-G1	II	1,2,3,5	0.698	0.732	0.714
settore07-H1	I+II	1,2,3,5	0.714	0.714	0.714
settore13-A3	II	1,2,3,5	0.688	0.736	0.711
settore06-I1	I+II	1,2,3,5	0.707	0.711	0.709
settore08-B2	I	1,2,3,5	0.718	0.700	0.709
settore09-C2	I+II	1,2,3,5	0.706	0.710	0.708
settore11-A5	I	1,2,3,5	0.697	0.719	0.708
settore07-C1	II	1,2,3,5	0.690	0.727	0.708
settore02-B2	II	1,2,3,5	0.677	0.739	0.707
settore13-B1	I	1,2,3,5	0.691	0.723	0.707
settore11-C2	I+II	1,2,3,5	0.655	0.767	0.707
settore07-H2	I+II	1,2,3,5	0.682	0.732	0.706
settore09-D2	II	1,2,3,5	0.706	0.706	0.706
settore06-E3	I	1,2,3,5	0.750	0.667	0.706
settore13-A1	I+II	1,2,3,5	0.672	0.740	0.705
settore01-A1	I+II	1,2,3,5	0.673	0.739	0.705
settore13-A1	I	1,2,3,5	0.726	0.684	0.704
settore07-B2	I+II	1,2,3,5	0.679	0.731	0.704
settore04-A1	I	1,2,3,5	0.696	0.709	0.703
settore01-A3	I+II	1,2,3,5	0.703	0.700	0.702
settore07-D1	I+II	1,2,3,5	0.688	0.717	0.702
settore01-A6	I	1,2,3,5	0.778	0.636	0.700
settore14-A1	I	1,2,3,5	0.724	0.677	0.700
settore10-D3	I	1,2,3,5	0.700	0.700	0.700
settore02-B2	I+II	1,2,3,5	0.701	0.697	0.699
settore10-D4	I+II	1,2,3,5	0.644	0.766	0.699
settore07-D1	II	1,2,3,5	0.663	0.740	0.699
settore05-A2	I+II	1,2,3,5	0.685	0.712	0.698
settore03-A1	I+II	1,2,3,5	0.660	0.739	0.697
settore04-A1	I+II	1,2,3,5	0.674	0.721	0.697
settore12-C1	I	1,2,3,5	0.704	0.691	0.697
settore01-A5	I	1,2,3,5	0.727	0.667	0.696
settore01-A1	I	1,2,3,5	0.696	0.696	0.696
settore12-C2	I	1,2,3,5	0.667	0.727	0.696
settore08-A4	II	1,2,3,5	0.672	0.722	0.696
settore10-A1	I+II	1,2,3,5	0.655	0.738	0.694
settore05-D1	I	1,2,3,5	0.654	0.737	0.693
settore06-D6	II	1,2,3,5	0.652	0.737	0.692
settore01-A4	I	1,2,3,5	0.730	0.659	0.692
settore12-G2	I+II	1,2,3,5	0.667	0.719	0.692
settore12-C2	II	1,2,3,5	0.692	0.692	0.692
settore11-A3	I	1,2,3,5	0.708	0.671	0.689
settore11-A2	I	1,2,3,5	0.695	0.683	0.689
